source_cell_type	ligand	receptor	target_lineage	n_mice	source_detection_fraction	target_receptor_detection_fraction	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	cross_modal_positive_direction	evidence_class	association_component	receptor_component	expression_component	replication_component	interaction_score	evidence_tier	tier_rank
T_cell	Tnfsf8	Tnfrsf8	CD4	47	0.2429971350518067	0.08982963345379454	0.2326549491211841	0.7456374816035954	-0.3817067530064755	0.25067300327844155	1.0535593	0.0127863749654505	3.9547806	5.056158660183512e-07	False	C — correlational	0.11632747456059205	0.8347233166666667	0.1477441828703452	0.5	0.37894428183694295	Tier 3 — exploratory	3
melanoma	Mfge8	Itgav	CD4	42	0.45547239581373816	0.5743048897411314	0.2545174621181428	0.7335945110909795	-0.19893039461956083	0.7259165747027061	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.1272587310590714	0.5185069999999999	0.5114489457002896	0.5	0.3764570950107329	Tier 3 — exploratory	3
monocyte_macrophage	Thbs1	Sdc4	CD4	45	0.6970679046527882	0.11269267645106573	0.08761528326745717	0.9441039446304704	0.32714097496706185	0.3855464858877909	1.3839569	4.1123406689643414e-05	2.142109	1.6900057552958785e-06	True	C — correlational	0.2073781291172595	0.5876776499999999	0.28027566402286697	0.5	0.37555689049561425	Tier 3 — exploratory	3
B_cell	Cd86	Ctla4	CD4	34	0.8666061103817495	0.7368537502765691	0.3142857142857143	0.669639629507233	-0.2333078686019862	0.7056416991555745	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	False	C — correlational	0.15714285714285714	0.24138832	0.7991007210905159	0.5	0.3751672242181032	Tier 3 — exploratory	3
melanoma	Adam15	Itgav	CD4	42	0.39440163815546775	0.5743048897411314	0.2874159306377117	0.6587842540648466	-0.17721416416821975	0.75017070110724	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.14370796531885585	0.5185069999999999	0.47592729414753837	0.5	0.37510999669110723	Tier 3 — exploratory	3
dendritic	Hapln1	Il1rl1	CD4	38	0.02966799714962411	0.12390294269488902	0.21582265069145154	0.8129803344575441	-0.007226938074904008	0.9961620769274951	3.4961667	5.75638756121595e-06	1.8961377	1.5663207222128604e-06	False	C — correlational	0.10791132534572577	0.8987173999999999	0.06062963096293764	0.5	0.3745742400635915	Tier 3 — exploratory	3
dendritic	Calr	Itgav	CD4	38	0.7941276935511279	0.5743048897411314	0.05384110308601444	0.967873822198081	-0.22543226088859705	0.7032254408611395	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.02692055154300722	0.5185069999999999	0.6753305986591008	0.5	0.3741150627718727	Tier 3 — exploratory	3
T_cell	Col18a1	Itga3	CD4	47	0.016098030080300366	0.06150896083781991	0.21282992694852354	0.7769609593964136	0.5604926139198552	0.01610664681371483	0.8977821	0.0257278570387628	1.0267496	6.386277766181647e-05	True	C — correlational	0.38666127043418935	0.32075528333333336	0.03146701609265235	0.75	0.3718136687038301	Tier 3 — exploratory	3
T_cell	Itgav	Thy1	CD4	47	0.5384417761672972	0.5644959067777859	0.1898704902867715	0.8181630407925856	0.6258094357076781	0.0036866912484448955	0.18670177	0.6125126065597069	0.26098633	0.0052132826451449	True	C — correlational	0.4078399629972248	0.07461468333333333	0.5513149541637702	0.5	0.37166064871511606	Tier 3 — exploratory	3
B_cell	Ltf	Il1rl1	CD4	34	0.003826630458501589	0.12390294269488902	0.2421419290775189	0.7898241216496289	-0.09894333168699175	0.9025637890227338	3.4961667	5.75638756121595e-06	1.8961377	1.5663207222128604e-06	False	C — correlational	0.12107096453875946	0.8987173999999999	0.021774544183845487	0.5	0.37140909642533493	Tier 3 — exploratory	3
melanoma	Icam1	Il2ra	CD8	42	0.10324456675480648	0.43156240710069216	0.3261486103233125	0.46663628065084944	0.23458390730086703	0.679066735870504	2.4752283	1.5142373072636011e-05	0.65311027	0.0001744031490831	True	C — correlational	0.28036625881208976	0.5213897616666666	0.21108404427803723	0.5	0.3706924398565056	Tier 3 — exploratory	3
T_cell	Tgfb1	Itgb1	CD4	47	0.4717292406914561	0.6470241168227746	0.13933857539315447	0.8928779136389008	0.49028677150786315	0.0681333722380128	-0.27310753	0.0222896046084842	-1.6698895	5.056158660183512e-07	False	C — correlational	0.3148126734505088	0.0	0.5524673703829643	0.75	0.37067790978427095	Tier 3 — exploratory	3
melanoma	Ltf	Il1rl1	CD4	42	0.0028576499599874128	0.12390294269488902	-0.09941894361446751	0.9409813941410932	0.24056124717205582	0.6586975045467127	3.4961667	5.75638756121595e-06	1.8961377	1.5663207222128604e-06	False	C — correlational	0.12028062358602791	0.8987173999999999	0.018816780788285022	0.5	0.37054092441276676	Tier 3 — exploratory	3
monocyte_macrophage	Calr	Itgav	CD4	45	0.7960696899063718	0.5743048897411314	0.02898550724637681	0.98230648046101	-0.013175230566534914	0.9872827694337377	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.014492753623188404	0.5185069999999999	0.6761558366885074	0.5	0.36993038110581744	Tier 3 — exploratory	3
T_cell	Tgfb1	Cxcr4	CD4	47	0.4717292406914561	0.42599011726528513	0.13933857539315447	0.8928779136389008	0.49028677150786315	0.0681333722380128	0.45349312	0.0034569290163712	-1.279254	1.4777777323999814e-06	False	C — correlational	0.3148126734505088	0.07558218666666668	0.44827669419636046	0.75	0.36873532121361685	Tier 3 — exploratory	3
NK	Tnfsf12	Tnfrsf8	CD4	43	0.1806572410599242	0.08982963345379454	0.19510721836303233	0.8248799050347996	-0.05360918151615826	0.9435255608701242	1.0535593	0.0127863749654505	3.9547806	5.056158660183512e-07	False	C — correlational	0.09755360918151616	0.8347233166666667	0.1273906344484821	0.5	0.3683027192698938	Tier 3 — exploratory	3
