candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
T_cell → Lgals1 → Ptprc → CD4	extracellular	cell-cell / extracellular signal	0.4708459688064046	0.4945569779490295	False	False	False	True	True	False	False	True	interaction-supported	1.4708459688064046
NK → Lgals1 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.470691281126127	0.7371372895894477	False	False	False	True	True	False	False	True	interaction-supported	1.470691281126127
NK → Ccl4 → Ccr5 → CD8	extracellular	cell-cell / extracellular signal	0.4703801849674643	0.0864256323914709	True	False	False	True	True	False	False	True	RNA-supported	1.4703801849674643
fibroblast → Lgals1 → Cd69 → CD4	extracellular	cell-cell / extracellular signal	0.4694669721600222	0.8232657900694536	False	False	False	True	True	False	False	True	interaction-supported	1.4694669721600222
B_cell → Lgals1 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.4689830042156613	0.5879041139820904	False	False	False	True	True	False	False	True	interaction-supported	1.4689830042156613
monocyte_macrophage → Cd86 → Ctla4 → CD4	extracellular	cell-cell / extracellular signal	0.4685815041626931	0.8998337148341948	False	False	False	True	True	False	False	True	interaction-supported	1.468581504162693
dendritic → Cd86 → Ctla4 → CD4	extracellular	cell-cell / extracellular signal	0.4676926396505134	0.9437639593342682	False	False	False	True	True	False	True	True	interaction-supported	1.4676926396505134
melanoma → Lgals1 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.4644489257275862	0.3009277790846603	False	False	False	True	True	False	False	True	interaction-supported	1.4644489257275861
B_cell → Cd86 → Cd28 → CD4	extracellular	cell-cell / extracellular signal	0.4641444641736536	0.669639629507233	False	False	False	True	True	False	False	True	interaction-supported	1.4641444641736536
melanoma → Calr → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4629869644694847	0.7047114608458159	False	False	False	True	True	False	False	True	interaction-supported	1.4629869644694846
neutrophil → B2m → Klrc1 → CD8	extracellular	cell-cell / extracellular signal	0.4616622086555108	0.700222244704099	False	False	False	True	True	False	False	True	interaction-supported	1.4616622086555107
dendritic → Calr → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4615376673568325	0.7032254408611395	False	False	False	True	True	False	False	True	interaction-supported	1.4615376673568325
NK → B2m → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4608216966961049	0.8172766852801584	False	False	False	True	True	False	False	True	interaction-supported	1.460821696696105
fibroblast → Nid1 → Itgav → CD8	extracellular	cell-cell / extracellular signal	0.4594634663483219	0.6622594723876417	False	False	False	True	True	False	True	True	interaction-supported	1.459463466348322
NK → Calr → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4592501410925298	0.7992223299147302	False	False	False	True	True	False	False	True	interaction-supported	1.4592501410925298
NK → B2m → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4588918358433251	0.8172766852801584	False	False	False	True	True	False	False	True	interaction-supported	1.4588918358433252
