candidate	statistical_status	biological_status	mechanistic_status	experimental_status	LOOCV_status	null_status	external_evidence_status	phase2_decision	decision_reason
T_cell → Timp2 → Cd44 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Penk → Ogfr → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Cd28 → Cd86 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Fam3c → Lifr → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Fam3c → Glra2 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
melanoma → Sema3e → Nrp1 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Fam3c → Ffar2 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Penk → Adra2a → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Pdcd1lg2 → Pdcd1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Cd28 → Cd80 → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Penk → Oprk1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Plau → Igf2r → CD8	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Vegfa → Cd44 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Hspg2 → Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	FAIL	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
