TF	lineage	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	FDR	n_strata	direction_consistency
Satb1	CD4	48h_vs_12h	48	12	0.1108951777522146	0.24729053186255723	0.5808452027469367	4	0.75
Sox11	CD4	48h_vs_12h	48	12	-0.13067609851215153	0.2472626049365857	0.5808452027469367	4	0.5
Zfp148	CD4	48h_vs_12h	48	12	-0.09255486067063694	0.24576408987812515	0.5808452027469367	4	0.75
Pax8	CD4	48h_vs_12h	48	12	-0.10111248316080829	0.26470800097664615	0.6076251840600286	4	0.75
Rest	CD4	48h_vs_12h	48	12	-0.2011343260446888	0.2616212764631177	0.6076251840600286	4	0.75
Tal1	CD4	48h_vs_12h	48	12	-0.3774324409375764	0.264273134842856	0.6076251840600286	4	0.75
Foxk1	CD4	48h_vs_12h	48	12	0.0625592085027681	0.26979333161815744	0.6146419509797121	4	0.5
Atf1	CD4	48h_vs_12h	48	12	0.02641752687540802	0.2770963880764086	0.6265686984115806	4	0.5
Gfi1b	CD4	48h_vs_12h	48	12	-0.11430825272478522	0.2844226542251336	0.6383708461497443	4	1.0
Pax6	CD4	48h_vs_12h	48	12	0.09245591689476193	0.2873553919683439	0.6402109100471192	4	0.5
Rxra	CD4	48h_vs_12h	48	12	-0.006668015272656389	0.29623627775642514	0.6551795048189549	4	0.75
Tgif2	CD4	48h_vs_12h	48	12	-0.1415896847218985	0.304712650024796	0.6690429924457476	4	0.75
Cebpe	CD4	48h_vs_12h	48	12	-0.014089938495341733	0.31817124712275235	0.6820977256147297	4	0.75
Elk4	CD4	48h_vs_12h	48	12	-0.0667888184845141	0.31536260908809066	0.6820977256147297	4	0.75
Nfe2l1	CD4	48h_vs_12h	48	12	0.12218239701376205	0.31456919611418843	0.6820977256147297	4	0.5
Rfx5	CD4	48h_vs_12h	48	12	0.08186567648359139	0.31966296051911425	0.6820977256147297	4	0.75
Nfkb1	CD4	48h_vs_12h	48	12	-0.4625288806179235	0.32260173532025727	0.6835547258883773	4	0.5
Atf3	CD4	48h_vs_12h	48	12	0.04449525839925402	0.3336949954725553	0.6867204722585096	4	0.75
Atf7	CD4	48h_vs_12h	48	12	0.07229845869670282	0.3376942256320724	0.6867204722585096	4	0.75
Mafk	CD4	48h_vs_12h	48	12	-0.14755969500889116	0.32673540723574923	0.6867204722585096	4	0.5
Usf2	CD4	48h_vs_12h	48	12	0.06523492899134657	0.32985480514174403	0.6867204722585096	4	0.75
Zfp110	CD4	48h_vs_12h	48	12	0.05328114013332997	0.33756927825746474	0.6867204722585096	4	0.75
Zfp369	CD4	48h_vs_12h	48	12	0.05328114013332997	0.33756927825746474	0.6867204722585096	4	0.75
Gata1	CD4	48h_vs_12h	48	12	0.12835892311429054	0.3425251565169549	0.6873186915538897	4	0.5
Kmt2a	CD4	48h_vs_12h	48	12	-0.1514304598680778	0.3420343713258098	0.6873186915538897	4	0.5
Six5	CD4	48h_vs_12h	48	12	0.10382216821997697	0.35228318171037953	0.6992972627920776	4	0.75
Tcf4	CD4	48h_vs_12h	48	12	0.015742844418280142	0.35311049903362335	0.6992972627920776	4	0.75
Nr1h3	CD4	48h_vs_12h	48	12	-0.0520929066294298	0.36486648381922127	0.7178866532287275	4	0.5
Runx2	CD4	48h_vs_12h	48	12	-0.250953054081402	0.369817351400202	0.7229332740274916	4	0.75
Tcf7l1	CD4	48h_vs_12h	48	12	0.09705829728491189	0.3732825600677113	0.7250295878238239	4	0.5
Hnf1b	CD4	48h_vs_12h	48	12	0.07851849057598538	0.3764298531047233	0.7264856400683513	4	0.75
